sample_year,sample_month_number,sample_month,state_code,sampling_county,varroa_per_100_bees,million_spores_per_bee,abpv,abpv_percentile,amsv1,amsv1_percentile,cbpv,cbpv_percentile,dwv,dwv_percentile,dwv-b,dwv-b_percentile,iapv,iapv_percentile,kbv,kbv_percentile,lsv2,lsv2_percentile,sbpv,sbpv_percentile,mkv,mkv_percentile,pesticides
2013,1,January,AL,Barbour,1.24,0,,90,,60,,60,,65,,55,,65,,90,,50,,,,50,
2013,1,January,AL,Blount,1.24,0,,90,,60,,60,,65,,55,,65,,90,,50,,,,50,
2013,1,January,AL,Calhoun,1.24,0,,90,,60,,60,,65,,55,,65,,90,,50,,,,50,
2013,1,January,AL,Escambia,1.24,0,,90,,60,,60,,65,,55,,65,,90,,50,,,,50,
2013,1,January,AL,Fayette,1.24,0,,90,,60,,60,,65,,55,,65,,90,,50,,,,50,
2013,1,January,AL,Franklin,1.24,0,,90,,60,,60,,65,,55,,65,,90,,50,,,,50,
2013,1,January,AL,Jackson,1.24,0,,90,,60,,60,,65,,55,,65,,90,,50,,,,50,
2013,1,January,AL,Jefferson,1.24,0,,90,,60,,60,,65,,55,,65,,90,,50,,,,50,
2013,1,January,AL,Lee,1.24,0,,90,,60,,55,,70,,60,,70,,90,,50,,,,50,
2013,1,January,AL,Macon,1.24,0,,90,,60,,60,,65,,55,,65,,90,,50,,,,50,
2013,1,January,AL,Madison,1.24,0,,90,,60,,60,,65,,55,,65,,90,,50,,,,50,
2013,1,January,AL,Marion,1.24,0,,90,,60,,60,,65,,55,,65,,90,,50,,,,50,
2013,1,January,AL,Marshall,1.24,0,,90,,60,,60,,65,,55,,65,,90,,50,,,,50,
2013,1,January,AL,Monroe,1.24,0,,90,,60,,60,,65,,55,,65,,90,,50,,,,50,
2013,1,January,AL,Montgomery,1.24,0,,90,,60,,60,,65,,55,,65,,90,,50,,,,50,
2013,1,January,AL,Morgan,1.24,0,,90,,60,,60,,65,,55,,65,,90,,50,,,,50,
2013,1,January,AL,Pickens,1.24,0,,90,,60,,60,,65,,55,,65,,90,,50,,,,50,
2013,1,January,AL,Pike,1.24,0,,90,,60,,60,,65,,55,,65,,90,,50,,,,50,
2013,1,January,AL,Randolph,1.24,0,,90,,60,,60,,65.3,,55,,65,,90,,50,,,,50,
2013,1,January,AL,Russell,1.24,0,,90,,60,,60,,65.9,,55,,65,,90,,50,,,,50,
2013,1,January,AL,Walker,1.24,0,,90,,50,,60,,66,,55,,65,,90,,50,,,,50,
2013,1,January,AL,Washington,1.24,0,,90,,60,,60,,66.1,,55,,65,,90,,50,,,,50,
2013,1,January,AR,Ashley,1.24,0,,90,,60,,60,,66.1,,55,,65,,90,,50,,,,50,
2013,1,January,AR,Boone,1.24,0,,90,,60,,60,,66.2,,55,,65,,90,,50,,,,50,
2013,1,January,AR,Calhoun,1.24,0,,90,,60,,60,,66.3,,55,,65,,90,,50,,,,50,
2013,1,January,AR,Carroll,1.24,0,,90,,60,,60,,66.4,,55,,65,,90,,50,,,,50,
2013,1,January,AR,Clay,1.24,0,,90,,60,,60,,66.5,,55,,65,,90,,50,,,,50,
2013,1,January,AR,Franklin,1.24,0,,90,,60,,60,,66,,55,,65,,90,,50,,,,50,
2013,1,January,AR,Fulton,1.24,0,,90,,60,,60,,65.5,,55,,65,,90,,50,,,,50,
2013,1,January,AR,Greene,1.24,0,,90,,60,,60,,65,,55,,65,,90,,50,,,,50,
2013,1,January,AR,Howard,1.24,0,,90,,60,,60,,66.7,,55,,65,,90,,50,,,,50,
2013,1,January,AR,Jackson,1.24,0,,90,,60,,60,,68.3,,55,,65,,90,,50,,,,50,
2013,1,January,AR,Jefferson,1.24,0,,90,,60,,60,,70,,60,,65,,90,,50,,,,50,
2013,1,January,AR,Lincoln,1.24,0,,88.5,,60,,60,,70,,55,,65,,90,,50,,,,50,
