sample_year,sample_month_number,sample_month,state_code,sampling_county,varroa_per_100_bees,million_spores_per_bee,abpv,abpv_percentile,amsv1,amsv1_percentile,cbpv,cbpv_percentile,dwv,dwv_percentile,dwv-b,dwv-b_percentile,iapv,iapv_percentile,kbv,kbv_percentile,lsv2,lsv2_percentile,sbpv,sbpv_percentile,mkv,mkv_percentile,pesticides
2009,7,July,HI,Hawaii,2.41,4.18,,,,,-,,-,,,,-,,-,,,,-,,,,
2009,7,July,HI,Honolulu,3.46,0.03,,,,,-,,+,,,,-,,-,,,,-,,,,
2009,7,July,HI,Honolulu,11.48,0.03,,,,,-,,-,,,,-,,-,,,,-,,,,
2009,7,July,HI,Honolulu,14.0,0.08,,,,,-,,+,,,,-,,+,,,,-,,,,
2009,7,July,HI,Honolulu,1.15,0.03,,,,,-,,+,,,,-,,-,,,,-,,,,
2009,7,July,HI,Kauai,0.0,0.02,,,,,-,,+,,,,-,,-,,,,-,,,,
2009,8,August,HI,Honolulu,18.91,0.15,,,,,-,,+,,,,-,,-,,,,-,,,,
2009,11,November,CA,Calaveras,2.0,0.0,,,,,-,,+,,,,+,,+,,,,-,,,,
2009,11,November,CA,Fresno,1.5,0.0,,,,,-,,+,,,,-,,+,,,,-,,,,
2009,11,November,CA,Kern,0.08,0.0,,,,,-,,+,,,,-,,-,,,,-,,,,
2009,11,November,CA,Madera,0.08,0.0,,,,,-,,-,,,,-,,-,,,,-,,,,
2009,11,November,CA,Madera,0.2,0.0,,,,,-,,+,,,,-,,-,,,,-,,,,
2009,11,November,CA,Madera,3.8,0.0,,,,,-,,+,,,,-,,-,,,,-,,,,
2009,11,November,CA,Madera,0.0,0.7,,,,,-,,-,,,,-,,-,,,,-,,,,
2009,11,November,CA,Madera,0.0,0.0,,,,,-,,-,,,,-,,-,,,,-,,,,
2009,11,November,CA,Merced,9.5,0.0,,,,,-,,+,,,,-,,-,,,,-,,,,
2009,12,December,CA,Placer,4.58,1.35,,,,,-,,+,,,,-,,-,,,,-,,,,
2009,12,December,CA,Sutter,0.0,0.03,,,,,-,,+,,,,-,,-,,,,-,,,,
2009,12,December,CA,Sutter,0.23,0.02,,,,,-,,-,,,,+,,-,,,,-,,,,
2010,1,January,CA,Fresno,0.1,1.0,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,1,January,CA,Fresno,8.2,2.5,,,,,-,,-,,,,-,,-,,,,-,,,,
2010,1,January,CA,Fresno,1.5,1.4,,,,,-,,-,,,,-,,-,,,,-,,,,
2010,1,January,CA,Fresno,2.4,0.0,,,,,-,,-,,,,-,,-,,,,-,,,,
2010,1,January,CA,Kern,0.2,1.0,,,,,-,,-,,,,-,,-,,,,-,,,,
2010,1,January,CA,Merced,2.5,0.1,,,,,-,,+,,,,+,,-,,,,-,,,,
2010,1,January,CA,San Diego,0.3,1.5,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,1,January,CA,Stanislaus,0.0,0.1,,,,,-,,-,,,,-,,-,,,,-,,,,
2010,1,January,CA,Stanislaus,0.0,1.7,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,2,February,CA,,2.1,0.03,,,,,,,,,,,,,,,,,,,,,
2010,2,February,FL,Alachua,7.83,2.12,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,2,February,CA,Fresno,7.2,0.1,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,2,February,CA,Kern,0.5,3.3,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,2,February,CA,Kern,0.1,1.2,,,,,-,,+,,,,+,,-,,,,-,,,,
2010,2,February,CA,Kern,0.7,0.1,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,2,February,CA,Kern,0.8,1.1,,,,,-,,+,,,,-,,+,,,,-,,,,
2010,2,February,CA,Kern,2.8,0.3,,,,,-,,+,,,,+,,+,,,,-,,,,
2010,2,February,CA,Kern,0.3,1.4,,,,,-,,-,,,,+,,-,,,,-,,,,
2010,2,February,CA,Kern,0.1,0.8,,,,,-,,-,,,,-,,-,,,,-,,,,
2010,2,February,CA,Kern,1.0,0.1,,,,,-,,-,,,,-,,-,,,,-,,,,
2010,2,February,CA,Kern,0.6,0.0,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,2,February,CA,Kern,0.1,0.0,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,2,February,CA,San Bernardino,0.1,0.0,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,2,February,CA,San Diego,0.1,0.6,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,2,February,CA,San Joaquin,0.0,0.2,,,,,-,,+,,,,-,,+,,,,-,,,,
2010,3,March,CA,Butte,,,,,,,,,,,,,,,,,,,,,,,
2010,3,March,FL,Collier,0.4,1.63,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,3,March,CA,Colusa,0.28,0.28,,,,,-,,+,,,,+,,+,,,,-,,,,
2010,3,March,CA,Contra Costa,0.08,1.3,,,,,-,,-,,,,+,,-,,,,-,,,,
2010,3,March,CA,Glenn,,,,,,,,,,,,,,,,,,,,,,,
2010,3,March,CA,Kern,0.14,0.18,,,,,-,,+,,,,+,,-,,,,-,,,,
2010,3,March,CA,Kern,1.1,0.25,,,,,-,,+,,,,+,,+,,,,-,,,,
2010,3,March,FL,Lake,0.4,1.78,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,3,March,FL,Lake,2.1,0.35,,,,,-,,+,,,,+,,-,,,,-,,,,
2010,3,March,FL,Lake,2.7,0.4,,,,,-,,+,,,,+,,-,,,,-,,,,
2010,3,March,FL,Lake,0.1,0.28,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,3,March,FL,Leon,0.0,0.08,,,,,-,,-,,,,-,,-,,,,-,,,,
2010,3,March,FL,Marion,0.8,0.78,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,3,March,FL,Okaloosa,2.81,0.03,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,3,March,FL,Putnam,0.67,0.38,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,3,March,CA,San Diego,1.1,0.35,,,,,+,,+,,,,+,,+,,,,-,,,,
2010,3,March,CA,San Diego,7.5,0.02,,,,,-,,+,,,,+,,+,,,,-,,,,
2010,3,March,FL,Santa Rosa,3.82,0.02,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,3,March,CA,Shasta,0.0,0.65,,,,,-,,+,,,,+,,+,,,,-,,,,
2010,3,March,CA,Shasta,0.07,1.28,,,,,-,,+,,,,+,,+,,,,-,,,,
2010,3,March,CA,Shasta,0.35,2.22,,,,,-,,+,,,,+,,+,,,,-,,,,
2010,4,April,FL,DeSoto,3.6,1.3,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,4,April,FL,Hardee,0.5,0.6,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,4,April,FL,Hendry,4.7,0.1,,,,,+,,+,,,,-,,-,,,,-,,,,
2010,4,April,FL,Highlands,0.3,1.78,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,4,April,FL,Lee,7.8,2.52,,,,,-,,+,,,,+,,+,,,,-,,,,
2010,4,April,FL,Martin,0.0,0.8,,,,,-,,+,,,,+,,-,,,,-,,,,
2010,4,April,FL,Martin,5.75,0.35,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,4,April,FL,Nassau,6.15,0.18,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,4,April,FL,Palm Beach,2.8,1.75,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,4,April,FL,Wakulla,2.1,0.47,,,,,-,,-,,,,-,,-,,,,-,,,,
2010,5,May,HI,,7.99,0.93,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,5,May,HI,,0.44,0.48,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,5,May,FL,Calhoun,3.9,0.02,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,5,May,PA,Clinton,0.09,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,5,May,TN,Cocke,0.2,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,5,May,FL,Coffee,1.76,0.1,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,5,May,TN,Fayette,0.93,0.0,-,,,,,,-,,,,-,,-,,,,-,,,,
2010,5,May,HI,Hawaii,,,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,5,May,HI,Hawaii,,,,,,,,,,,,,,,,,,,,,,,
2010,5,May,HI,Hawaii,,,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,5,May,FL,Lake,0.65,0.08,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,5,May,HI,Maui,1.6,0.63,,,,,-,,+,,,,-,,-,,,,-,,,,
2010,5,May,HI,Maui,3.97,1.25,,,,,-,,-,,,,-,,-,,,,-,,,,
2010,5,May,PA,Northumberland,3.82,0.38,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,IN,Allen,0.89,0.02,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,TN,Anderson,5.5,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,GA,Appling,0.0,0.05,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,PA,Bradford,1.21,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,PA,Centre,3.51,0.12,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,PA,Chester,1.33,0.1,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,PA,Dauphin,3.69,0.27,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,PA,Dauphin,0.64,0.83,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,IN,DeKalb,2.57,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,GA,Dodge,1.96,0.03,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,GA,Evans,0.0,0.02,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,IN,Hamilton,1.26,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,IN,Hamilton,0.47,0.35,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,IN,Hendricks,2.32,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,IN,Hendricks,1.59,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,TN,McMinn,0.93,0.0,-,,,,,,+,,,,-,,+,,,,-,,,,
2010,6,June,GA,Montgomery,0.31,0.18,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,GA,Montgomery,1.27,0.02,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,GA,Montgomery,0.41,0.02,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,IN,St. Joseph,2.9,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,IN,St. Joseph,2.21,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,GA,Tattnall,0.07,0.02,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,IN,Wabash,1.12,0.38,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,6,June,TN,Weakley,0.79,0.0,-,,,,,,-,,,,-,,-,,,,-,,,,
2010,7,July,GA,Atkinson,0.45,0.02,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,GA,Ben Hill,1.73,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,GA,Brantley,1.96,0.02,-,,,,,,-,,,,-,,-,,,,-,,,,
2010,7,July,TX,Brazos,0.76,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,Cayuga,0.53,0.08,-,,,,,,-,,,,-,,-,,,,-,,,,
2010,7,July,NY,Cayuga,1.97,0.03,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,PA,Centre,2.0,0.02,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,GA,Coffee,2.52,0.02,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,GA,Coffee,1.8,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,GA,Coffee,0.32,0.07,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,PA,Dauphin,3.9,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,Essex,0.38,0.08,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,Genesee,0.45,0.02,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,TX,Grimes,3.56,0.0,+,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,GA,Irwin,1.69,0.05,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,IN,Jackson,3.55,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,IN,Jackson,4.65,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,IN,Jackson,1.65,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,Jefferson,0.76,0.03,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,Jefferson,1.05,0.02,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,IN,Knox,0.08,0.02,+,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,Lewis,10.32,0.1,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,IN,Morgan,0.16,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,Ontario,3.27,0.07,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,St. Lawrence,3.0,0.2,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,TX,Tarrant,5.19,0.0,+,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,Washington,0.38,0.07,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,GA,Wayne,0.72,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,GA,Wayne,7.09,0.02,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,Wayne,0.07,0.3,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,NY,Wayne,1.71,0.02,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,7,July,TX,Williamson,4.99,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,AL,Barbour,3.41,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,AL,Barbour,1.56,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,SD,Beadle,0.95,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,SD,Beadle,0.59,0.0,-,,,,,,-,,,,-,,-,,,,-,,,,
2010,8,August,TX,Bell,1.62,0.02,+,,,,,,+,,,,+,,+,,,,-,,,,
2010,8,August,TX,Bell,2.85,0.0,-,,,,,,+,,,,+,,+,,,,-,,,,
2010,8,August,MI,Benzie,3.81,0.07,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,TN,Blount,2.06,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,MI,Calhoun,1.13,0.0,+,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,NY,Cattaraugus,0.7,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,AL,Cherokee,1.4,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,AL,Coffee,2.04,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,GA,Colquitt,0.26,0.07,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,GA,Colquitt,2.23,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,GA,Colquitt,3.86,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,GA,Cook,2.76,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,GA,Cook,5.83,0.1,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,AL,Coosa,1.29,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,TN,Cumberland,5.79,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,PA,Dauphin,7.74,0.15,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,IN,Dearborn,4.35,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,IN,Dearborn,3.02,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,NY,Erie,1.01,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,AL,Etowah,5.26,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,PA,Franklin,4.06,0.03,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,NY,Genesee,9.47,0.07,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,NY,Genesee,2.55,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
2010,8,August,SD,Haakon,8.45,0.0,-,,,,,,+,,,,-,,-,,,,-,,,,
